,sent_a,sent_b,label
0,William has obliged there to be no guests getting fired.,William has declared there to be no guests getting fired.,1.0
1,Richard believed there to be many boxes stunning Ellen.,Richard sways there to be many boxes stunning Ellen.,0.0
2,Teresa swayed there to be many bananas stunning Claire.,Teresa finds there to be many bananas stunning Claire.,1.0
3,Mary can declare there to be some ladders falling.,Mary can entreat there to be some ladders falling.,0.0
4,An actress wouldn't command there to be a print looking like that ice.,An actress wouldn't declare there to be a print looking like that ice.,1.0
5,Christina anticipates there to be many coats tightening.,Christina urged there to be many coats tightening.,0.0
6,Gregory is declaring there to be a movie irritating Douglas.,Gregory is pushing there to be a movie irritating Douglas.,0.0
7,Dana hasn't ordered there to be a unicycle dropping.,Dana hasn't declared there to be a unicycle dropping.,1.0
8,Frank compelled there to be a photograph of Michael looking like Sherry.,Frank judged there to be a photograph of Michael looking like Sherry.,1.0
9,Sarah was judging there to be a cashier exiting that mountain.,Sarah was enticing there to be a cashier exiting that mountain.,0.0
10,Cynthia believed there to be a lot of apples boring Kevin.,Cynthia advised there to be a lot of apples boring Kevin.,0.0
11,Many organizations have induced there to be no stories distracting some company.,Many organizations have believed there to be no stories distracting some company.,1.0
12,Ann hadn't believed there to be no birds disappearing.,Ann hadn't urged there to be no birds disappearing.,0.0
13,Anna's best friend believes there to be more than three cashiers helping Bruce.,Anna's best friend prompted there to be more than three cashiers helping Bruce.,0.0
14,Steven's tutors wouldn't expect there to be a father of some women pressing that waitress to study.,Steven's tutors wouldn't advise there to be a father of some women pressing that waitress to study.,0.0
15,Ella couldn't obligate there to be many drivers daring Carlos to stun Charles.,Ella couldn't ascertain there to be many drivers daring Carlos to stun Charles.,1.0
16,Some dancer judged there to be a light scaring Scott.,Some dancer advises there to be a light scaring Scott.,0.0
17,Some cousins of Debra haven't spurred there to be fewer than three governments inducing Kendra to argue.,Some cousins of Debra haven't ascertained there to be fewer than three governments inducing Kendra to argue.,1.0
18,Victoria advised there to be commentaries confusing a lot of customers.,Victoria declares there to be commentaries confusing a lot of customers.,1.0
19,Every association had pushed there to be many grocery stores stunning Colleen.,Every association had needed there to be many grocery stores stunning Colleen.,1.0
20,Janice predicts there to be many lamps disturbing Ella.,Janice prods there to be many lamps disturbing Ella.,0.0
21,Kathleen hadn't found there to be a committee describing Kristen.,Kathleen hadn't advised there to be a committee describing Kristen.,0.0
22,Irene's granddaughters prefer there to be more than three plates falling.,Irene's granddaughters required there to be more than three plates falling.,0.0
23,Becca will sway there to be museums reuniting.,Becca will ascertain there to be museums reuniting.,1.0
24,The library didn't prompt there to be an art gallery disappearing.,The library didn't discover there to be an art gallery disappearing.,1.0
25,Most banks encourage there to be a lot of waiters discussing Phillip.,Most banks believed there to be a lot of waiters discussing Phillip.,1.0
26,Dawn can declare there to be few waitresses working hard.,Dawn can command there to be few waitresses working hard.,0.0
27,David had spurred there to be a lot of mouths irritating some girls.,David had judged there to be a lot of mouths irritating some girls.,1.0
28,The museums persuade there to be an icicle condensing.,The museums judge there to be an icicle condensing.,1.0
29,The customers convince there to be an art gallery irritating Stacy.,The customers needed there to be an art gallery irritating Stacy.,1.0
30,An organization will judge there to be a drawing looking like every dog.,An organization will oblige there to be a drawing looking like every dog.,0.0
31,Danielle didn't implore there to be a cashier compromising.,Danielle didn't find there to be a cashier compromising.,1.0
32,Some teacher's plumbers anticipated there to be some slopes wasting away.,Some teacher's plumbers implored there to be some slopes wasting away.,0.0
33,Some boys advise there to be a cashier swaying a lot of boys' mothers to conspire.,Some boys predicted there to be a cashier swaying a lot of boys' mothers to conspire.,1.0
34,A lot of synopses weren't obligating there to be no rugs confusing Frank.,A lot of synopses weren't discovering there to be no rugs confusing Frank.,1.0
35,This child tempted there to be no documentaries about Winston Churchill hurting Douglas.,This child ascertained there to be no documentaries about Winston Churchill hurting Douglas.,1.0
36,Donna hasn't expected there to be a plate worrying Alice.,Donna hasn't obliged there to be a plate worrying Alice.,0.0
37,Most fathers of Frank induce there to be some dogs breaking the computer.,Most fathers of Frank prefer there to be some dogs breaking the computer.,1.0
38,Most grandsons of Christina push there to be a commentary about the Impressionists worrying Irene.,Most grandsons of Christina declared there to be a commentary about the Impressionists worrying Irene.,1.0
39,Some library considers there to be few pictures of Nancy hurting Winston Churchill.,Some library required there to be few pictures of Nancy hurting Winston Churchill.,0.0
40,Guy isn't ascertaining there to be no associations appearing to boycott all cafes.,Guy isn't enticing there to be no associations appearing to boycott all cafes.,0.0
41,A lot of museums needed there to be a lot of drivers lifting that fish.,A lot of museums pressure there to be a lot of drivers lifting that fish.,0.0
42,Craig's lawyers were motivating there to be fish irritating a lot of actors.,Craig's lawyers were needing there to be fish irritating a lot of actors.,1.0
43,Gregory has expected there to be some skirts loosening.,Gregory has encouraged there to be some skirts loosening.,0.0
44,Edward didn't need there to be a company arguing.,Edward didn't sway there to be a company arguing.,0.0
45,Julie won't compel there to be fewer than three legislatures irritating Brad.,Julie won't want there to be fewer than three legislatures irritating Brad.,1.0
46,Danielle considers there to be many cups impressing Lucille.,Danielle obligated there to be many cups impressing Lucille.,0.0
47,Libraries require there to be a woman persuading those girls to learn.,Libraries needed there to be a woman persuading those girls to learn.,1.0
48,Alexander hadn't declared there to be a library hurting Marie.,Alexander hadn't ordered there to be a library hurting Marie.,0.0
49,Every waiter hadn't believed there to be some eyes aggravating Erin.,Every waiter hadn't convinced there to be some eyes aggravating Erin.,0.0
50,Kathleen's electricians were tempting there to be a company persuading Joseph's ex-wife to compromise.,Kathleen's electricians were expecting there to be a company persuading Joseph's ex-wife to compromise.,1.0
51,John encourages there to be a casserole shocking Samantha.,John considered there to be a casserole shocking Samantha.,1.0
52,Cheryl isn't believing there to be a college campus existing.,Cheryl isn't asking there to be a college campus existing.,0.0
53,Todd wanted there to be a closet worrying William.,Todd convinces there to be a closet worrying William.,0.0
54,The Borgias' brothers pressed there to be more than three cafes existing.,The Borgias' brothers need there to be more than three cafes existing.,1.0
55,Those sisters of Tammy require there to be fewer than three companies tempting some pedestrian to drive to that library.,Those sisters of Tammy wanted there to be fewer than three companies tempting some pedestrian to drive to that library.,1.0
56,All nephews of Teresa judged there to be a commentary confusing Daniel.,All nephews of Teresa ask there to be a commentary confusing Daniel.,0.0
57,Monet's classmates can ask there to be some movie theaters alarming the Clintons.,Monet's classmates can prefer there to be some movie theaters alarming the Clintons.,1.0
58,Lawrence hasn't compelled there to be no shows about Spain astounding Robert.,Lawrence hasn't wanted there to be no shows about Spain astounding Robert.,1.0
59,Paul's ex-wives discover there to be a grocery store confusing this government.,Paul's ex-wives obligate there to be a grocery store confusing this government.,0.0
60,Colleen's mothers predict there to be a lot of screens vanishing.,Colleen's mothers oblige there to be a lot of screens vanishing.,0.0
61,James hadn't induced there to be some pictures stunning Brad.,James hadn't anticipated there to be some pictures stunning Brad.,1.0
62,Sherry finds there to be some children listening to Lawrence.,Sherry begs there to be some children listening to Lawrence.,0.0
63,Lawrence will entreat there to be many shoes twisting.,Lawrence will expect there to be many shoes twisting.,1.0
64,Jerry's grandsons wanted there to be a car worrying Rhonda.,Jerry's grandsons urge there to be a car worrying Rhonda.,0.0
65,This boy's bosses prefer there to be no drivers falling asleep.,This boy's bosses pressed there to be no drivers falling asleep.,0.0
66,A lot of guests' contractor wanted there to be many pedestrians anticipating an association to reply.,A lot of guests' contractor prompted there to be many pedestrians anticipating an association to reply.,0.0
67,Alexander was imploring there to be more than three prints of that muffin irritating those students.,Alexander was believing there to be more than three prints of that muffin irritating those students.,1.0
68,Donna has declared there to be a niece of Alice appearing to embrace.,Donna has forced there to be a niece of Alice appearing to embrace.,0.0
69,The Borgias' nieces advised there to be a lot of grandmothers of Sonia admiring Colleen.,The Borgias' nieces need there to be a lot of grandmothers of Sonia admiring Colleen.,1.0
70,Bill's senator had ascertained there to be a lot of carts stopping.,Bill's senator had spurred there to be a lot of carts stopping.,0.0
71,Dan's boyfriend convinced there to be fewer than three grocery stores wasting away.,Dan's boyfriend predicted there to be fewer than three grocery stores wasting away.,1.0
72,Dennis judges there to be some lakes scaring Irene.,Dennis pushes there to be some lakes scaring Irene.,0.0
73,Chad's ex-wives weren't imploring there to be a restaurant astounding Tiffany.,Chad's ex-wives weren't judging there to be a restaurant astounding Tiffany.,1.0
74,Amelia will expect there to be a lot of women waving.,Amelia will commission there to be a lot of women waving.,0.0
75,Marie wasn't preferring there to be steps vanishing.,Marie wasn't advising there to be steps vanishing.,0.0
76,These men declare there to be fewer than three women advising Benjamin's oncologist to talk about Matt.,These men commissioned there to be fewer than three women advising Benjamin's oncologist to talk about Matt.,0.0
77,Dancers' senators urge there to be a lot of commentaries scaring Lawrence.,Dancers' senators need there to be a lot of commentaries scaring Lawrence.,1.0
78,Some senators' tutor does consider there to be few horses stunning Andrew.,Some senators' tutor does entreat there to be few horses stunning Andrew.,0.0
79,Adam's handymen weren't believing there to be a hat aggravating Kayla.,Adam's handymen weren't pressuring there to be a hat aggravating Kayla.,0.0
80,Some cousins of Wayne might expect there to be some guests lifting the projector.,Some cousins of Wayne might convince there to be some guests lifting the projector.,0.0
81,Dawn ascertained there to be some teenagers meeting.,Dawn advised there to be some teenagers meeting.,0.0
82,Caroline discovers there to be an apple burning.,Caroline swayed there to be an apple burning.,0.0
83,A lot of men's students did anticipate there to be more than three grandfathers of Raymond realizing who wasn't slumping over.,A lot of men's students did entice there to be more than three grandfathers of Raymond realizing who wasn't slumping over.,0.0
84,Victoria's wife wasn't considering there to be a hill stunning Bill.,Victoria's wife wasn't spurring there to be a hill stunning Bill.,0.0
85,Donna is swaying there to be no high schools alarming Kayla.,Donna is wanting there to be no high schools alarming Kayla.,1.0
86,Some grandmother of Nancy had needed there to be a person hoping to clean some art gallery.,Some grandmother of Nancy had pressured there to be a person hoping to clean some art gallery.,0.0
87,Russell isn't expecting there to be a drawing of Tonya shocking Heidi.,Russell isn't pressing there to be a drawing of Tonya shocking Heidi.,0.0
88,Janice's students had pressed there to be a picture worrying some driver.,Janice's students had judged there to be a picture worrying some driver.,1.0
89,Mitchell is considering there to be bread appearing.,Mitchell is enticing there to be bread appearing.,0.0
90,Bill's senator was preferring there to be a report boring Brenda.,Bill's senator was compelling there to be a report boring Brenda.,0.0
91,Natalie's lawyers swayed there to be few teenagers profiting.,Natalie's lawyers expect there to be few teenagers profiting.,1.0
92,These waiters declare there to be a mountain worrying those banks.,These waiters commission there to be a mountain worrying those banks.,0.0
93,Andrew hasn't expected there to be a screen annoying Bill.,Andrew hasn't dared there to be a screen annoying Bill.,0.0
94,Many friends of Ellen haven't persuaded there to be many shawls folding.,Many friends of Ellen haven't discovered there to be many shawls folding.,1.0
95,Bill isn't finding there to be pork stunning Kendra.,Bill isn't advising there to be pork stunning Kendra.,0.0
96,The friends of Allison are entreating there to be a lot of mountains astounding Monet.,The friends of Allison are discovering there to be a lot of mountains astounding Monet.,1.0
97,Andrea's brother is finding there to be a cucumber alarming Kirsten.,Andrea's brother is imploring there to be a cucumber alarming Kirsten.,0.0
98,Sabrina couldn't consider there to be a grocery store alarming Samantha.,Sabrina couldn't advise there to be a grocery store alarming Samantha.,0.0
99,Some customers won't judge there to be few gates alarming Gina.,Some customers won't sway there to be few gates alarming Gina.,0.0
100,Whose had Irene messed up rug?,Irene had messed up whose rug?,1.0
101,Edward has returned to which customers?,Which has Edward returned to customers?,0.0
102,Holly is taking which blouse?,Which is Holly taking blouse?,0.0
103,All women had known what teachers?,What had all women known teachers?,0.0
104,That truck will hurt which senator?,Which will that truck hurt senator?,0.0
105,Helen did drive to whose glacier?,Whose did Helen drive to glacier?,0.0
106,What has some documentary disagreed with commentaries?,Some documentary has disagreed with what commentaries?,1.0
107,Cheryl is selling what malls?,What is Cheryl selling malls?,0.0
108,David would cure what snake?,What would David cure snake?,0.0
109,Which did Theresa scare men?,Theresa did scare which men?,1.0
110,Some chairs should embarrass what guys?,What should some chairs embarrass guys?,0.0
111,This committee can shock which student?,Which can this committee shock student?,0.0
112,Jane can discover whose dogs?,Whose can Jane discover dogs?,0.0
113,Julia is boycotting what mountain?,What is Julia boycotting mountain?,0.0
114,What had Carla argued about series?,Carla had argued about what series?,1.0
115,Whose was Amanda investigating hospitals?,Amanda was investigating whose hospitals?,1.0
116,Which are all actresses exploring college campus?,All actresses are exploring which college campus?,1.0
117,What have most schools looked like drawings?,Most schools have looked like what drawings?,1.0
118,April is talking about which movies?,Which is April talking about movies?,0.0
119,Tara will fix whose skateboards?,Whose will Tara fix skateboards?,0.0
120,Which was Carla lifting pamphlet?,Carla was lifting which pamphlet?,1.0
121,A lot of hats do confuse whose committees?,Whose do a lot of hats confuse committees?,0.0
122,Whose might Tina boast about bases?,Tina might boast about whose bases?,1.0
123,Whose had a woman concealed skateboards?,A woman had concealed whose skateboards?,1.0
124,Caroline has worried what people?,What has Caroline worried people?,0.0
125,Galileo will sound like which woman?,Which will Galileo sound like woman?,0.0
126,Those actresses will love which movies?,Which will those actresses love movies?,0.0
127,Peter did run around whose museum?,Whose did Peter run around museum?,0.0
128,Which was Lucille wearing scarf?,Lucille was wearing which scarf?,1.0
129,What has Monet aggravated waitresses?,Monet has aggravated what waitresses?,1.0
130,Most gloves might disturb what women?,What might most gloves disturb women?,0.0
131,Kayla has attacked which patients?,Which has Kayla attacked patients?,0.0
132,Spain had worked with what doctors?,What had Spain worked with doctors?,0.0
133,Which should Guy explore oasis?,Guy should explore which oasis?,1.0
134,What do the Lutherans boast about person?,The Lutherans do boast about what person?,1.0
135,Which was a waiter thinking about horses?,A waiter was thinking about which horses?,1.0
136,What could the Balkans shock doctors?,The Balkans could shock what doctors?,1.0
137,Many children can annoy what children?,What can many children annoy children?,0.0
138,Laurie might criticize what brochures?,What might Laurie criticize brochures?,0.0
139,Denise had known what boy?,What had Denise known boy?,0.0
140,Deanna has hidden which lamp?,Which has Deanna hidden lamp?,0.0
141,Most cakes should upset what school?,What should most cakes upset school?,0.0
142,A movie could disagree with which lady?,Which could a movie disagree with lady?,0.0
143,Which had this student investigated guest?,This student had investigated which guest?,1.0
144,Deborah would impress which senator?,Which would Deborah impress senator?,0.0
145,Which was Todd complaining about guy?,Todd was complaining about which guy?,1.0
146,Curtis has dropped by whose mountains?,Whose has Curtis dropped by mountains?,0.0
147,Bradley is hiding which lights?,Which is Bradley hiding lights?,0.0
148,What could a lot of grocery stores disgust patients?,A lot of grocery stores could disgust what patients?,1.0
149,Those dancers can disagree with what newspaper article?,What can those dancers disagree with newspaper article?,0.0
150,Which can Lisa love dancers?,Lisa can love which dancers?,1.0
151,Catherine should hate which synopsis?,Which should Catherine hate synopsis?,0.0
152,Richard was buying whose octopus?,Whose was Richard buying octopus?,0.0
153,Julie is disturbing what cashiers?,What is Julie disturbing cashiers?,0.0
154,Whose was every waiter arriving at hill?,Every waiter was arriving at whose hill?,1.0
155,Which were some bicycles confusing senator?,Some bicycles were confusing which senator?,1.0
156,Debra was examining whose books?,Whose was Debra examining books?,0.0
157,Which has Brett investigated customer?,Brett has investigated which customer?,1.0
158,Victoria has cleaned what candles?,What has Victoria cleaned candles?,0.0
159,Bill should dislike what pedestrians?,What should Bill dislike pedestrians?,0.0
160,What has Marla brought lake?,Marla has brought what lake?,1.0
161,Thomas does exit whose public park?,Whose does Thomas exit public park?,0.0
162,Christine might observe which doctor?,Which might Christine observe doctor?,0.0
163,Claire was visiting which doctor?,Which was Claire visiting doctor?,0.0
164,What has Linda thought about mushrooms?,Linda has thought about what mushrooms?,1.0
165,Tina can stun what men?,What can Tina stun men?,0.0
166,Edward could kiss which actress?,Which could Edward kiss actress?,0.0
167,Caroline is praising which alumnus?,Which is Caroline praising alumnus?,0.0
168,Which will Candice run around schools?,Candice will run around which schools?,1.0
169,What had Sabrina dropped by high schools?,Sabrina had dropped by what high schools?,1.0
170,The museums are stunning whose universities?,Whose are the museums stunning universities?,0.0
171,Whose is some doctor selling tomato?,Some doctor is selling whose tomato?,1.0
172,Bradley is thinking about what box?,What is Bradley thinking about box?,0.0
173,What had the books worried teacher?,The books had worried what teacher?,1.0
174,Kenneth has attacked which alumni?,Which has Kenneth attacked alumni?,0.0
175,Whose might a boy run around oases?,A boy might run around whose oases?,1.0
176,Whose has Diane worn shawls?,Diane has worn whose shawls?,1.0
177,Which has Marla noticed bread?,Marla has noticed which bread?,1.0
178,Which is Caroline arguing about customer?,Caroline is arguing about which customer?,1.0
179,Marla might hug which woman?,Which might Marla hug woman?,0.0
180,Those dancers had respected what art galleries?,What had those dancers respected art galleries?,0.0
181,Benjamin was researching whose books?,Whose was Benjamin researching books?,0.0
182,Phillip will watch what waitresses?,What will Phillip watch waitresses?,0.0
183,Paula can bike to which schools?,Which can Paula bike to schools?,0.0
184,What does Monet take deer?,Monet does take what deer?,1.0
185,Melanie was skated around what closet?,What was Melanie skated around closet?,0.0
186,Whose had Lucille arrived at movie theater?,Lucille had arrived at whose movie theater?,1.0
187,This actor is touring what oasis?,What is this actor touring oasis?,0.0
188,Kayla has remembered which brochure?,Which has Kayla remembered brochure?,0.0
189,Which could Victoria talk to doctor?,Victoria could talk to which doctor?,1.0
190,That teacher will aggravate what alumnus?,What will that teacher aggravate alumnus?,0.0
191,Which had Carol listened to students?,Carol had listened to which students?,1.0
192,Which is Larry observing woman?,Larry is observing which woman?,1.0
193,Which will April climb up slope?,April will climb up which slope?,1.0
194,What might Jacqueline astound government?,Jacqueline might astound what government?,1.0
195,What has Diane known guys?,Diane has known what guys?,1.0
